,hids,layers,Train MAPE,Val MAPE,Test MAPE,Next M MAPE,Next D MAPE,Next H MAPE
11,64,3,0.976682389,1.060357969,1.092617568,1.188311186,1.038717581,1.05082402
4,16,2,0.923665836,1.084186547,1.001378726,1.097347159,0.955154775,0.951634096
2,8,3,1.041277479,1.119393464,1.128921025,1.226177458,1.052243644,1.108341869
7,32,2,1.044467799,1.144383196,1.052187439,1.079599522,1.025231909,1.051730942
3,16,1,0.999771617,1.156515274,1.009694766,1.128864717,0.987104066,0.913115572
0,8,1,1.020543072,1.171530932,1.051753331,1.115014851,1.026099259,1.014145724
9,64,1,1.091435477,1.195207238,1.126047522,1.172662787,1.146709621,1.058770064
6,32,1,0.970907025,1.197753046,1.046496928,1.156166717,0.992858205,0.990465954
1,8,2,0.965584274,1.201138627,1.092417613,1.17271727,1.078507099,1.026028413
10,64,2,1.079362053,1.201867722,1.098990999,1.178328525,1.083163358,1.035480909
5,16,3,1.128688287,1.234995872,1.165114287,1.241600681,1.130626947,1.123115327
8,32,3,1.063555516,1.240973528,1.122086346,1.228571124,1.08168019,1.05600765
