,hid,nl,lr,Train MAPE,Val MAPE,Test MAPE,Next M MAPE,Next D MAPE,Next H MAPE
17,16,5,0.001,0.656998102,0.888621826,0.865213294,0.994264651,0.788541296,0.812833868
3,8,3,0.001,0.807012469,0.924840132,0.930212308,0.99977294,0.955323372,0.835540565
6,8,5,0.0001,0.790868159,0.926104933,0.928301215,1.004990265,0.843939157,0.935974121
16,16,5,0.0001,0.66893152,0.926579665,0.932483803,1.065945067,0.904548857,0.826957524
1,8,2,0.001,0.744302282,0.943436492,1.069531534,1.093779933,1.116550509,0.998263964
18,16,6,0.0001,0.713748904,0.946950614,0.894913366,1.03036778,0.8305512,0.823820978
7,8,5,0.001,0.803617416,0.965220677,0.95302457,1.079793815,0.862945393,0.916334456
13,16,3,0.001,0.694305869,0.983255478,1.00033449,1.133315861,0.884268377,0.983419195
5,8,4,0.001,0.815368965,0.984236468,0.938365581,1.019785237,0.917716594,0.877594799
4,8,4,0.0001,0.79753262,0.99198522,0.922385249,0.997799514,0.869145188,0.900211092
2,8,3,0.0001,0.813433258,1.009996086,0.989322364,0.997719169,1.003573481,0.966674443
12,16,3,0.0001,0.677029984,1.023481805,1.046546157,1.062202025,1.032920387,1.044516135
29,32,6,0.001,0.712951301,1.024054196,0.963462647,1.085550189,0.83407524,0.970762614
28,32,6,0.0001,0.645531574,1.033471953,0.954889618,1.069028191,0.894742953,0.900897728
19,16,6,0.001,0.759644555,1.040796228,0.906494297,1.042465363,0.884962613,0.792054944
27,32,5,0.001,0.621106029,1.045091543,0.955426935,1.104776729,0.866286457,0.895217638
26,32,5,0.0001,0.60391617,1.049000658,0.95499292,1.118218284,0.847339481,0.899420958
0,8,2,0.0001,0.865883734,1.067987904,1.255957149,1.226101369,1.176878717,1.36489138
9,8,6,0.001,0.98378147,1.085691452,1.064701481,1.17405396,1.067966232,0.952084353
8,8,6,0.0001,0.995584931,1.087585725,1.105716862,1.120736822,1.096903095,1.099510733
24,32,4,0.0001,0.609864322,1.088351961,1.007028874,1.169233806,0.892916638,0.958936252
15,16,4,0.001,0.811598236,1.089861747,1.048482154,1.219453067,0.977548137,0.948445275
10,16,2,0.0001,0.747249704,1.162839457,1.123318113,1.219268274,0.98435998,1.16632631
11,16,2,0.001,0.870588971,1.169809029,1.112564821,1.227860022,1.042951336,1.066882983
23,32,3,0.001,0.805304404,1.170904357,1.179276146,1.256746389,1.139013059,1.142068915
14,16,4,0.0001,0.787356589,1.171573028,1.130556278,1.164079551,1.12783188,1.09975744
25,32,4,0.001,0.650124904,1.199824233,0.972642172,1.143158004,0.927467812,0.847300617
21,32,2,0.001,0.799856205,1.253686696,1.256691515,1.414070595,1.243746597,1.11225713
22,32,3,0.0001,0.642924299,1.347940918,1.199055687,1.263786536,1.200510152,1.132870531
20,32,2,0.0001,0.639094561,1.536738183,1.226056516,1.324854735,1.174195893,1.179118808
